Date,User,Message
2026-08-05 09:12:33,"김태호팀장","다들 이번 분기 OKR 초안 확인 부탁드려요"
2026-08-05 09:31:04,"박서연","넵 확인했습니다"
2026-08-05 09:33:51,"이준혁","저도 봤어요 몇 가지 코멘트 남겼습니다"
2026-08-05 10:02:18,"김태호팀장","이모티콘"
2026-08-05 14:20:07,"최민지","사진"
2026-08-05 14:21:33,"최민지","부스 시안 나왔어요!"
2026-08-05 14:45:12,"박서연","ㅋㅋㅋㅋ"
2026-08-05 14:47:29,"이준혁","(놀람)(하트)"
2026-08-06 11:03:44,"박서연","혹시 외주 계약서 양식 어디에 있나요?"
2026-08-06 11:15:02,"김태호팀장","드라이브 공유폴더 > 계약 안에 있어요"
2026-08-06 11:16:20,"박서연","감사합니다!"
2026-08-06 15:40:55,"이준혁","동영상"
,"","메시지가 삭제되었습니다."
2026-08-07 10:05:11,"이준혁","장비 도입 방안 3가지 정리했습니다.

1. 고스펙 장비 직접 도입 — 펌웨어 개발 리소스 없이 서버 통신까지 커버
- https://example.com/docs/device-spec

2. 저가 IoT 장비를 별도 설치
- https://example.com/store/sensor-a
- https://example.com/store/sensor-b

3. 상용 서비스 업체 위탁 (https://example.com/vendor)

의견 주세요."
2026-08-07 10:06:02,"이준혁","파일: 장비_비교표.xlsx"
2026-08-07 10:30:47,"김태호팀장","정리 고마워요"
2026-08-07 17:55:39,"박서연","다음 주 워크샵 장소 확정됐을까요?"
2026-08-07 18:02:14,"최민지","이모티콘"
2026-08-11 09:40:26,"최민지","혹시 외주 계약서 양식 어디 있나요?"
2026-08-11 09:55:38,"이준혁","저도 그거 찾고 있었는데 못 찾겠어요"
2026-08-11 10:10:09,"김태호팀장","드라이브 공유폴더 > 계약 폴더요"
2026-08-12 13:20:41,"박서연","요즘 회의가 너무 자주 잡혀서 실제 작업 시간이 안 나와요"
2026-08-12 13:35:16,"이준혁","저도 좀 그래요… 오후에 집중할 시간이 없네요"
2026-08-12 13:50:03,"최민지","ㅠㅠ"
2026-08-14 16:12:50,"김태호팀장","사진 3장"
2026-08-14 16:30:22,"최민지","설치 일정은 언제로 잡으면 될까요?"
2026-08-14 16:31:05,"최민지","이모티콘"
2026-08-18 10:00:33,"이준혁","계약서 양식 위치 다시 알려주실 수 있나요?"
2026-08-18 10:20:47,"김태호팀장","반복해서 물어보시니 공지에 고정해둘게요"
2026-08-18 11:30:12,"박서연","파일: 워크샵_기획안_v2.docx"
2026-08-18 11:31:40,"박서연","초안이에요 피드백 주세요"
,"","메시지가 삭제되었습니다."
2026-08-19 09:40:55,"이준혁","보안 점검 결과 공유는 언제쯤 가능할까요?"
2026-08-19 10:05:18,"김태호팀장","사진"
